,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
89,2004,BAL,AL,bigbila01,OF,340000,2003,1,BAL,AL,83,287,43,87,15,1,9,31,7,1,29,60,3,0,1,2,2
584,2004,OAK,AL,ellisma01,2B,323500,2003,1,OAK,AL,154,553,78,137,31,5,9,52,6,2,48,94,4,7,9,5,7
845,2004,TOR,AL,hudsoor01,2B,322000,2003,1,TOR,AL,142,474,54,127,21,6,9,57,5,4,39,87,1,5,0,3,13
499,2004,MON,NL,calloro01,OF,312500,2003,1,MON,NL,126,340,36,81,17,1,9,52,9,2,20,80,1,2,4,3,13
531,2004,NYA,AL,jeterde01,SS,18600000,2003,1,NYA,AL,119,482,87,156,25,3,10,52,11,5,43,88,2,13,3,1,10
707,2004,SEA,AL,olerujo01,1B,7700000,2003,1,SEA,AL,152,539,64,145,35,0,10,83,0,1,84,67,7,6,2,3,20
418,2004,LAN,NL,bradlmi01,OF,1730000,2003,1,CLE,AL,101,377,61,121,34,2,10,56,17,7,64,73,8,5,0,5,10
174,2004,CHN,NL,barremi01,C,1550000,2003,1,MON,NL,70,226,33,47,9,2,10,30,0,0,21,37,7,2,2,1,6
775,2004,TBA,AL,blumge01,SS,1500000,2003,1,HOU,NL,123,420,51,110,19,0,10,52,0,0,20,50,1,2,2,5,15
655,2004,PIT,NL,simonra01,1B,800000,2003,1,PIT,NL,91,307,34,84,14,0,10,51,0,0,12,30,1,2,0,0,6
276,2004,COL,NL,greento02,C,550000,2003,1,TEX,AL,62,205,25,47,10,1,10,20,0,0,2,47,0,2,0,1,2
168,2004,CHA,AL,uribeju01,SS,350000,2003,1,COL,NL,87,316,45,80,19,3,10,33,7,2,17,60,0,3,6,1,3
733,2004,SFN,NL,mohrdu01,OF,342500,2003,1,MIN,AL,121,348,50,87,22,0,10,36,5,2,33,106,0,1,2,3,10
