,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
163,2001,BOS,AL,varitja01,C,1800000,2000,1,BOS,AL,139,448,55,111,31,1,10,65,1,1,60,84,3,6,1,4,16
724,2001,SEA,AL,bellda01,SS,2200000,2000,1,SEA,AL,133,454,57,112,24,2,11,47,2,3,42,66,0,6,6,4,11
515,2001,MON,NL,blumge01,SS,260000,2000,1,MON,NL,124,343,40,97,20,2,11,45,1,4,26,60,2,3,3,4,4
285,2001,COL,NL,cirilje01,3B,4850000,2000,1,COL,NL,157,598,111,195,53,2,11,115,3,4,67,72,4,6,1,12,19
810,2001,TBA,AL,coxst01,OF,255000,2000,1,TBA,AL,116,318,44,90,19,1,11,35,1,2,45,47,2,5,0,1,9
46,2001,ARI,NL,gracema01,1B,3000000,2000,1,CHN,NL,143,510,75,143,41,1,11,82,1,2,95,28,11,6,2,8,7
205,2001,CHN,NL,gutieri01,SS,3400000,2000,1,CHN,NL,125,449,73,124,19,2,11,56,8,2,66,58,0,7,16,4,10
468,2001,MIL,NL,hernajo01,SS,3333333,2000,1,MIL,NL,124,446,51,109,22,1,11,59,3,7,41,125,3,6,0,3,12
8,2001,ANA,AL,hillgl01,OF,1500000,2000,1,CHN,NL,64,168,23,44,4,1,11,29,0,1,10,43,2,0,0,0,5
148,2001,BOS,AL,lansimi01,3B,6250000,2000,1,COL,NL,90,365,62,94,14,6,11,47,8,2,31,49,1,0,3,1,13
233,2001,CIN,NL,larkiba01,SS,9000000,2000,1,CIN,NL,102,396,71,124,26,5,11,41,14,6,48,31,0,1,2,0,10
734,2001,SEA,AL,martial03,OF,5000000,2000,1,SDN,NL,93,346,62,106,13,6,11,27,6,8,28,54,5,2,0,2,2
54,2001,ARI,NL,sandere02,OF,1500000,2000,1,ATL,NL,103,340,43,79,23,1,11,37,21,4,32,78,2,2,3,0,9
130,2001,BAL,AL,seguida01,OF,7000000,2000,1,TEX,AL,93,351,52,118,29,1,11,57,0,1,34,51,1,0,0,4,12
188,2001,CHA,AL,singlch01,OF,315000,2000,1,CHA,AL,147,511,83,130,22,5,11,62,22,7,35,85,2,1,12,4,6
537,2001,MON,NL,tracyan01,3B,218000,2000,1,MON,NL,83,192,29,50,8,1,11,32,1,0,22,61,1,2,0,2,3
394,2001,HOU,NL,trubych01,3B,237500,2000,1,HOU,NL,78,258,28,67,15,4,11,59,2,1,10,56,1,5,1,5,4
217,2001,CHN,NL,whitero02,OF,4000000,2000,1,MON,NL,75,290,52,89,24,0,11,54,5,1,28,67,0,2,0,2,4
752,2001,SFN,NL,benarma01,OF,2700000,2000,1,SFN,NL,149,560,102,147,27,6,12,55,22,7,63,97,0,6,2,2,4
223,2001,CIN,NL,booneaa01,SS,400000,2000,1,CIN,NL,84,291,44,83,18,0,12,43,6,1,24,52,1,10,2,4,5
757,2001,SFN,NL,dunstsh01,SS,1000000,2000,1,SLN,NL,98,216,28,54,11,2,12,43,3,1,6,47,0,3,4,2,11
710,2001,SDN,NL,kotsama01,OF,2125000,2000,1,FLO,NL,152,530,87,158,31,5,12,57,19,9,42,46,2,0,2,4,17
409,2001,KCA,AL,mccarda01,OF,750000,2000,1,KCA,AL,103,270,34,75,14,2,12,53,0,0,22,68,1,0,0,3,6
153,2001,BOS,AL,nixontr01,OF,390000,2000,1,BOS,AL,123,427,66,118,27,8,12,60,8,1,63,85,2,2,5,5,11
