YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2000,ANA,AL,walbema01,C,925000,1999,ANA,AL,107,288,26,69,8,1,3,22,2,3,26,46,1,3,3,1,12,0.305,0.306,1,0,322
2000,TOR,AL,mathemi01,C,750000,1999,TOR,AL,57,163,16,35,6,0,3,17,0,0,12,37,0,1,2,1,3,0.268,0.307,1,0,179
2000,CLE,AL,diazei01,C,237500,1999,CLE,AL,119,392,43,110,21,1,3,32,11,4,23,41,0,5,6,1,10,0.323,0.362,1,0,427
2000,OAK,AL,hernara02,C,211000,1999,OAK,AL,40,136,13,38,7,0,3,21,1,0,18,11,0,1,1,2,5,0.361,0.397,1,0,158
2000,HOU,NL,eusebto01,C,1100000,1999,HOU,NL,103,323,31,88,15,0,4,33,0,0,40,67,4,0,0,0,9,0.353,0.356,1,0,367
2000,DET,AL,haselbi01,C,1100000,1999,DET,AL,48,143,13,39,8,0,4,14,2,0,10,26,1,0,0,0,4,0.320,0.413,1,0,154
2000,SLN,NL,castial01,C,425000,1999,SLN,NL,93,255,21,67,8,0,4,31,0,0,24,48,1,2,5,4,6,0.321,0.341,1,0,291
2000,CHA,AL,johnsma02,C,250000,1999,CHA,AL,73,207,27,47,11,0,4,16,3,1,36,58,0,2,1,2,2,0.343,0.338,1,0,248
2000,SFN,NL,servasc01,C,625000,1999,SFN,NL,69,198,21,54,10,0,5,21,0,0,13,31,2,3,3,0,7,0.323,0.399,1,0,219
2000,KCA,AL,kreutch01,C,500000,1999,KCA,AL,107,324,31,73,15,0,5,35,0,0,34,65,1,6,2,2,16,0.307,0.318,1,0,369
2000,CLE,AL,alomasa02,C,2700000,1999,CLE,AL,37,137,19,42,13,0,6,25,0,1,4,23,0,0,1,2,1,0.319,0.533,1,0,144
2000,TBA,AL,difelmi01,C,525000,1999,TBA,AL,51,179,21,55,11,0,6,27,0,0,8,23,0,3,0,1,1,0.346,0.469,1,0,191
2000,SLN,NL,marreel01,C,240000,1999,SLN,NL,114,317,32,61,13,1,6,34,11,2,18,56,4,1,4,3,14,0.233,0.297,1,0,347
2000,SEA,AL,wilsoda01,C,4000000,1999,SEA,AL,123,414,46,110,23,2,7,38,5,0,29,83,4,2,10,2,10,0.309,0.382,1,0,461
2000,CHN,NL,santibe01,C,650000,1999,CHN,NL,109,350,28,87,18,3,7,36,1,1,32,71,6,2,0,2,12,0.313,0.377,1,0,392
2000,ATL,NL,perezed02,C,650000,1999,ATL,NL,104,309,30,77,17,0,7,30,0,1,17,40,4,6,4,3,9,0.295,0.372,1,0,343
2000,PIT,NL,kendaja01,C,2250000,1999,PIT,NL,78,280,61,93,20,3,8,41,22,3,38,32,3,12,0,4,8,0.428,0.511,1,0,337
2000,SDN,NL,leyriji01,C,1000000,1999,SDN,NL,50,134,17,32,5,0,8,21,0,0,15,37,1,4,0,1,4,0.331,0.455,1,0,155
2000,DET,AL,ausmubr01,C,4000000,1999,DET,AL,127,458,62,126,25,6,9,54,12,9,51,71,0,14,3,1,11,0.362,0.415,1,0,527
2000,CHN,NL,houstty01,C,835000,1999,CHN,NL,100,249,26,58,9,1,9,27,1,1,28,67,4,0,1,1,7,0.308,0.386,1,0,283
2000,CHA,AL,fordybr01,C,675000,1999,CHA,AL,105,333,36,99,25,1,9,49,2,0,21,48,0,3,3,2,5,0.340,0.459,1,0,362
2000,ATL,NL,lopezja01,C,6250000,1999,ATL,NL,65,246,34,78,18,1,11,45,0,3,20,41,2,3,0,0,6,0.375,0.533,1,0,271
2000,ARI,NL,milleda02,C,300000,1999,ARI,NL,86,296,35,80,19,0,11,47,0,0,19,78,3,2,0,3,6,0.316,0.446,1,0,323
2000,NYA,AL,posadjo01,C,1250000,1999,NYA,AL,112,379,50,93,19,2,12,57,1,0,53,91,2,3,0,2,9,0.341,0.401,1,0,439
2000,TBA,AL,flahejo01,C,2947410,1999,TBA,AL,117,446,53,124,19,0,14,71,0,2,19,64,0,6,1,10,14,0.309,0.415,1,0,482
2000,MON,NL,widgech01,C,1350000,1999,MON,NL,124,383,42,101,24,1,14,56,1,4,28,86,0,7,0,1,5,0.325,0.441,1,0,419
2000,ARI,NL,stinnke01,C,1000000,1999,ARI,NL,88,284,36,66,13,0,14,38,2,1,24,83,2,5,2,2,4,0.300,0.426,1,0,319
2000,BAL,AL,johnsch04,C,4600000,1999,BAL,AL,135,426,58,107,19,1,16,54,0,0,55,107,2,4,4,3,13,0.337,0.413,1,0,494
2000,TOR,AL,fletcda01,C,2500000,1999,TOR,AL,115,412,48,120,26,0,18,80,0,0,26,47,0,6,0,4,16,0.339,0.485,1,0,448
2000,BOS,AL,varitja01,C,375000,1999,BOS,AL,144,483,70,130,39,2,20,76,1,2,46,85,2,2,5,8,13,0.327,0.482,1,0,546
2000,CIN,NL,taubeed01,C,1400000,1999,CIN,NL,126,424,58,132,22,2,21,87,0,2,30,67,1,1,1,5,12,0.354,0.521,1,0,462
2000,KCA,AL,sweenmi01,C,2250000,1999,KCA,AL,150,575,101,185,44,2,22,102,6,1,54,48,0,10,0,4,21,0.387,0.520,1,0,643
2000,LAN,NL,hundlto01,C,6125000,1999,LAN,NL,114,376,49,78,14,0,24,55,3,0,44,113,3,4,1,3,5,0.294,0.436,1,0,431
2000,PHI,NL,liebemi01,C,4833333,1999,PHI,NL,145,510,84,153,33,1,31,96,0,0,44,86,7,11,1,8,15,0.362,0.551,1,0,581
2000,TEX,AL,rodriiv01,C,8600000,1999,TEX,AL,144,600,116,199,29,1,35,113,25,12,24,64,2,1,0,5,31,0.356,0.558,1,0,632
