YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2003,TOR,AL,huckake01,C,313000,2002,TOR,AL,88,273,29,67,6,1,3,22,0,0,9,44,1,0,1,0,10,0.269,0.308,1,0,284
2003,LAN,NL,hundlto01,C,6500000,2002,CHN,NL,92,266,32,56,8,0,16,35,0,0,32,80,3,3,1,1,6,0.300,0.421,1,0,306
2003,DET,AL,ingebr01,C,315000,2002,DET,AL,95,321,27,65,15,3,7,24,1,3,24,101,0,4,1,1,7,0.265,0.333,1,0,351
2003,COL,NL,johnsch04,C,7000000,2002,FLO,NL,83,244,18,53,19,0,6,36,0,0,31,61,7,0,1,4,10,0.300,0.369,1,0,287
2003,OAK,AL,johnsma02,C,500000,2002,CHA,AL,86,263,31,55,8,1,4,18,0,0,30,52,1,3,6,0,4,0.291,0.293,1,0,303
2003,PIT,NL,kendaja01,C,8571429,2002,PIT,NL,145,545,59,154,25,3,3,44,15,8,49,29,1,9,0,2,11,0.350,0.356,1,0,606
2003,CIN,NL,larueja01,C,1250000,2002,CIN,NL,113,353,42,88,17,1,12,52,1,2,27,117,6,13,2,2,13,0.322,0.405,1,0,403
2003,MIN,AL,lecroma01,C,312500,2002,MIN,AL,63,181,19,47,11,1,7,27,0,2,13,38,1,0,0,2,5,0.306,0.448,1,0,197
2003,PHI,NL,liebemi01,C,7250000,2002,PHI,NL,130,476,46,133,29,2,15,52,0,1,38,58,2,14,0,2,16,0.349,0.443,1,0,532
2003,ATL,NL,lopezja01,C,7000000,2002,ATL,NL,109,347,31,81,15,0,11,52,0,1,26,63,8,8,0,4,15,0.299,0.372,1,0,393
2003,SLN,NL,mathemi01,C,3250000,2002,SLN,NL,110,315,31,77,12,1,3,35,1,3,32,49,6,2,8,6,3,0.306,0.317,1,0,369
2003,KCA,AL,maynebr01,C,2750000,2002,KCA,AL,101,326,35,77,8,2,4,30,4,4,34,54,1,2,4,4,8,0.305,0.310,1,0,371
2003,CHN,NL,milleda02,C,2700000,2002,ARI,NL,101,297,40,74,22,0,11,42,0,0,38,88,5,3,2,0,14,0.338,0.434,1,0,345
2003,BOS,AL,mirabdo01,C,805000,2002,BOS,AL,57,151,17,34,7,0,7,25,0,0,17,33,0,3,0,2,6,0.312,0.411,1,0,173
2003,ANA,AL,molinbe01,C,1425000,2002,ANA,AL,122,428,34,105,18,0,5,47,0,0,15,34,3,4,6,6,15,0.270,0.322,1,0,462
2003,TOR,AL,myersgr01,C,800000,2002,OAK,AL,65,144,15,32,5,0,6,21,0,0,26,36,3,0,0,0,4,0.341,0.382,1,0,173
2003,NYN,NL,piazzmi01,C,15571429,2002,NYN,NL,135,478,69,134,23,2,33,98,0,3,57,82,9,3,0,3,26,0.359,0.544,1,0,550
2003,MIN,AL,pierzaj01,C,365000,2002,MIN,AL,130,440,54,132,31,6,6,49,1,2,13,61,1,11,2,3,14,0.333,0.439,1,0,470
2003,NYA,AL,posadjo01,C,8000000,2002,NYA,AL,143,511,79,137,40,1,20,99,1,0,81,143,9,3,0,3,23,0.370,0.468,1,0,607
2003,FLO,NL,redmomi01,C,1050000,2002,FLO,NL,89,256,19,78,15,0,2,28,0,2,21,34,8,8,2,3,4,0.369,0.387,1,0,298
2003,FLO,NL,rodriiv01,C,10000000,2002,TEX,AL,108,408,67,128,32,2,19,60,5,4,25,71,2,2,1,4,13,0.352,0.542,1,0,442
2003,SFN,NL,santibe01,C,1775000,2002,SFN,NL,126,478,56,133,24,5,16,74,4,2,27,73,8,2,3,7,19,0.313,0.450,1,0,525
2003,SFN,NL,torreyo01,C,312000,2002,SFN,NL,53,136,17,38,10,0,2,14,0,0,14,20,2,2,3,0,11,0.348,0.397,1,0,157
2003,BOS,AL,varitja01,C,4700000,2002,BOS,AL,132,467,58,124,27,1,10,61,4,3,41,95,3,7,1,3,13,0.331,0.392,1,0,522
