,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
799,2001,SLN,NL,paquecr01,OF,1500000,2000,1,SLN,NL,134,384,47,94,24,2,15,61,4,3,27,83,1,2,1,6,5
243,2001,CIN,NL,tuckemi01,OF,1800000,2000,1,CIN,NL,148,270,55,72,13,4,15,36,13,6,44,64,1,7,0,2,6
136,2001,BOS,AL,bicheda01,OF,7000000,2000,1,CIN,NL,125,461,67,136,27,2,16,76,5,2,41,69,3,4,1,7,18
249,2001,CLE,AL,branyru01,OF,219000,2000,1,CLE,AL,67,193,32,46,7,2,16,38,0,0,22,76,1,4,0,1,2
544,2001,NYA,AL,brosisc01,OF,5250000,2000,1,NYA,AL,135,470,57,108,20,0,16,64,0,3,45,73,1,2,0,2,17
254,2001,CLE,AL,cordewi01,OF,2666667,2000,1,PIT,NL,89,348,46,98,24,3,16,51,1,2,25,58,1,4,0,1,11
606,2001,OAK,AL,damonjo01,OF,7100000,2000,1,KCA,AL,159,655,136,214,42,10,16,88,46,9,65,60,4,1,8,12,7
75,2001,ATL,NL,jordabr01,OF,9100000,2000,1,ATL,NL,133,489,71,129,26,0,17,77,10,2,38,80,1,5,0,5,12
586,2001,NYN,NL,paytoja01,OF,290000,2000,1,NYN,NL,149,488,63,142,23,1,17,62,5,11,30,60,0,3,0,8,9
239,2001,CIN,NL,riverru01,OF,1000000,2000,1,SDN,NL,135,423,62,88,18,6,17,57,8,4,44,137,1,10,0,2,8
23,2001,ANA,AL,spiezsc01,OF,1125000,2000,1,ANA,AL,123,297,47,72,11,2,17,49,1,2,40,56,2,3,1,4,5
637,2001,PHI,NL,burrepa01,OF,1905000,2000,1,PHI,NL,111,408,57,106,27,1,18,79,0,0,63,139,2,1,0,2,5
784,2001,SLN,NL,drewjd01,OF,2750000,2000,1,SLN,NL,135,407,73,120,17,2,18,57,17,9,67,99,4,6,5,1,3
618,2001,OAK,AL,longte01,OF,240750,2000,1,OAK,AL,138,584,104,168,34,4,18,80,5,0,43,77,1,1,0,3,18
557,2001,NYA,AL,oneilpa01,OF,7250000,2000,1,NYA,AL,142,566,79,160,26,0,18,100,14,9,51,90,2,0,0,11,17
561,2001,NYA,AL,rodrihe02,OF,1500000,2000,1,CHN,NL,76,259,37,65,15,1,18,51,1,2,22,76,2,3,0,3,4
