playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
cabreev01,2014,1,SDN,NL,90,357,36,83,13,1,3,20,18,8,20,86,0,1,9,4,5
ludwiry01,2014,1,CIN,NL,112,357,28,87,20,0,9,45,0,2,31,94,1,4,1,4,6
tejadru01,2014,1,NYN,NL,119,355,30,84,11,0,5,34,1,2,50,73,11,8,4,2,8
harpebr03,2014,1,WAS,NL,100,352,41,96,10,2,13,32,2,2,38,104,4,1,3,1,6
penabr01,2014,1,CIN,NL,115,348,23,88,18,1,5,26,2,3,20,42,2,0,1,3,8
rasmuco01,2014,1,TOR,AL,104,346,45,78,21,1,18,40,4,0,29,124,2,1,0,0,1
avilemi01,2014,1,CLE,AL,113,344,38,85,16,1,5,39,14,5,13,49,0,1,11,5,10
crawfca02,2014,1,LAN,NL,105,343,56,103,14,3,8,46,23,6,16,55,0,6,0,4,5
ethiean01,2014,1,LAN,NL,130,341,29,85,17,6,4,42,2,2,31,74,3,6,1,1,5
ramoswi01,2014,1,WAS,NL,88,341,32,91,12,0,11,47,0,0,17,57,2,0,0,3,17
hamiljo03,2014,1,LAA,AL,89,338,43,89,21,0,10,44,3,3,32,108,5,5,0,6,2
pearcst01,2014,1,BAL,AL,102,338,51,99,26,0,21,49,5,0,40,76,1,4,0,1,4
davisik02,2014,2,PIT,NL,131,336,39,79,18,0,10,46,0,4,57,74,3,0,0,4,8
morrilo01,2014,1,SEA,AL,99,336,41,88,20,0,11,38,5,2,24,59,1,3,0,2,9
espinda01,2014,1,WAS,NL,114,333,31,73,14,3,8,27,8,1,18,122,5,12,0,1,5
kiermke01,2014,1,TBA,AL,108,331,35,87,16,8,10,35,5,4,23,71,2,3,5,2,3
peralda01,2014,1,ARI,NL,88,329,40,94,12,9,8,36,6,3,16,60,0,1,1,1,9
trumbma01,2014,1,ARI,NL,88,328,37,77,15,1,14,61,2,3,28,89,3,1,0,5,8
machama01,2014,1,BAL,AL,82,327,38,91,14,0,12,32,2,0,20,68,2,3,2,2,13
myerswi01,2014,1,TBA,AL,87,325,37,72,14,0,6,35,6,1,34,90,3,0,0,2,10
snidetr01,2014,1,PIT,NL,140,322,37,85,15,1,13,38,1,1,34,67,2,2,1,0,10
lasteto01,2014,1,ATL,NL,93,319,22,80,16,1,1,31,2,1,36,40,2,1,3,1,8
roberbr01,2014,1,NYA,AL,91,317,40,75,16,4,5,21,7,4,28,53,1,1,1,1,9
tulowtr01,2014,1,COL,NL,91,315,71,107,18,1,21,52,1,1,50,57,4,5,0,5,4
schiena01,2014,1,CHN,NL,99,313,29,60,10,3,6,33,4,4,18,76,0,4,0,6,6
jonesja06,2014,1,SEA,AL,108,312,46,78,9,5,0,9,27,1,12,67,0,0,4,0,4
owingch01,2014,1,ARI,NL,91,310,34,81,15,6,6,26,8,1,16,67,0,2,2,2,4
singljo02,2014,1,HOU,AL,95,310,42,52,13,0,13,44,2,3,50,134,1,1,0,1,4
solando01,2014,1,MIA,NL,111,310,26,78,11,1,3,28,1,2,19,61,0,3,7,1,5
rutlejo01,2014,1,COL,NL,105,309,44,83,16,7,4,33,2,3,20,83,0,6,5,2,6
lakeju01,2014,1,CHN,NL,108,308,30,65,10,3,9,25,7,3,14,110,0,1,1,2,3
jasojo01,2014,1,OAK,AL,99,307,42,81,18,3,9,40,2,0,28,60,1,7,0,2,5
chiriro01,2014,1,TEX,AL,93,306,36,73,15,0,13,40,0,1,17,71,1,7,4,4,4
iannech01,2014,1,LAA,AL,108,306,41,77,22,0,7,43,3,0,54,91,3,8,0,5,3
forsylo01,2014,1,TBA,AL,110,301,32,67,12,1,6,26,2,0,25,71,0,4,2,4,9
springe01,2014,1,HOU,AL,78,295,45,68,8,1,20,51,5,2,39,114,4,9,0,2,4
riverre01,2014,1,SDN,NL,103,294,27,74,18,1,11,44,0,0,27,76,3,3,3,2,6
barnebr02,2014,1,COL,NL,132,292,37,75,17,4,8,27,5,4,15,100,0,0,6,0,11
sogarer01,2014,1,OAK,AL,117,291,38,65,10,0,1,22,11,4,31,37,0,1,4,2,6
lindad01,2014,1,TOR,AL,96,290,38,93,24,2,6,40,0,0,28,48,3,0,0,0,8
turneju01,2014,1,LAN,NL,109,288,46,98,21,1,7,43,6,1,28,58,1,4,0,2,6
francju02,2014,1,TOR,AL,106,287,40,63,16,2,16,43,0,2,27,116,0,3,0,3,6
gonzama01,2014,1,HOU,AL,103,285,33,79,15,1,6,23,2,4,17,58,0,4,4,0,6
ellisaj01,2014,1,LAN,NL,93,283,21,54,9,0,3,25,0,0,53,57,5,4,3,4,15
flahery01,2014,1,BAL,AL,102,281,33,62,15,1,7,32,1,0,22,68,2,5,3,1,3
younger03,2014,1,NYN,NL,100,280,48,64,10,5,1,17,30,6,24,60,1,5,5,2,2
headlch01,2014,1,SDN,NL,77,279,27,64,12,1,7,32,4,1,22,73,0,5,0,1,12
alcanar01,2014,1,CHN,NL,70,278,31,57,11,2,10,29,8,5,17,93,0,2,1,2,3
polangr01,2014,1,PIT,NL,89,277,50,65,9,0,7,33,14,5,30,59,1,0,2,2,1
bonifem01,2014,1,CHN,NL,69,276,35,77,14,3,2,18,14,6,16,49,2,0,6,0,1
heisech01,2014,1,CIN,NL,119,275,34,61,15,2,8,22,9,2,15,64,0,2,5,2,3
gregodi01,2014,1,ARI,NL,80,270,35,61,9,5,6,27,3,0,22,52,3,3,2,2,1
panikjo01,2014,1,SFN,NL,73,269,31,82,10,2,1,18,0,0,16,33,0,0,1,1,4
vogtst01,2014,1,OAK,AL,84,269,26,75,10,2,9,35,1,0,16,39,2,1,0,1,2
alonsyo01,2014,1,SDN,NL,84,267,27,64,19,1,7,27,6,1,17,36,1,1,0,3,8
polloaj01,2014,1,ARI,NL,75,265,41,80,19,6,7,24,14,3,19,46,0,2,1,0,4
bourjpe01,2014,1,SLN,NL,119,264,32,61,9,5,4,24,9,3,20,78,1,4,5,1,5
villajo01,2014,1,HOU,AL,87,263,31,55,13,2,7,27,17,4,19,80,1,2,4,1,4
sanchga01,2014,1,PIT,NL,123,262,31,60,18,1,7,33,2,0,23,58,0,2,0,3,6
cowgico01,2014,1,LAA,AL,106,260,37,65,10,1,5,21,4,0,26,74,0,5,2,0,4
dysonja01,2014,1,KCA,AL,120,260,33,70,4,4,1,24,36,7,22,52,0,0,6,2,5
gonzaca01,2014,1,COL,NL,70,260,35,62,15,1,11,38,3,0,19,70,2,1,0,1,7
