playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
pennicl01,2015,1,ARI,NL,OF,5,2,87,6,1,0,0,,,,,
pennicl01,2015,1,ARI,NL,SS,24,16,472,17,60,4,13,,,,,
pennicl01,2015,2,TOR,AL,2B,22,18,483,28,56,2,10,,,,,
pennicl01,2015,2,TOR,AL,3B,6,1,48,0,5,0,0,,,,,
pennicl01,2015,2,TOR,AL,OF,3,2,48,5,0,0,0,,,,,
pennicl01,2015,2,TOR,AL,SS,5,0,25,1,1,1,1,,,,,
peralda01,2015,1,ARI,NL,OF,131,116,3128,227,3,2,0,,,,,
peraljh01,2015,1,SLN,NL,SS,148,147,3863,157,420,8,88,,,,,
peraljo01,2015,1,LAN,NL,P,33,0,87,1,0,0,0,,,,,
peralwi01,2015,1,MIL,NL,P,20,20,326,11,18,2,1,,,,,
perazjo01,2015,1,LAN,NL,2B,6,6,141,5,20,2,5,,,,,
perazjo01,2015,1,LAN,NL,OF,1,0,15,2,0,0,0,,,,,
perezca02,2015,1,LAA,AL,1B,2,0,12,4,1,0,0,,,,,
perezca02,2015,1,LAA,AL,C,80,75,1995,545,71,5,1,7,,41,25,
perezeu01,2015,1,ATL,NL,OF,36,30,836,61,3,1,0,,,,,
perezhe01,2015,1,DET,AL,1B,4,1,36,9,1,0,0,,,,,
perezhe01,2015,1,DET,AL,2B,5,1,51,5,5,0,1,,,,,
perezhe01,2015,1,DET,AL,3B,8,3,92,3,7,0,0,,,,,
perezhe01,2015,1,DET,AL,SS,3,2,60,1,2,0,0,,,,,
perezhe01,2015,2,MIL,NL,1B,3,0,21,6,1,0,1,,,,,
perezhe01,2015,2,MIL,NL,2B,14,12,274,21,28,1,4,,,,,
perezhe01,2015,2,MIL,NL,3B,72,46,1264,31,87,4,9,,,,,
perezhe01,2015,2,MIL,NL,SS,3,1,27,1,0,0,0,,,,,
perezju02,2015,1,SFN,NL,2B,1,0,6,0,0,0,0,,,,,
perezju02,2015,1,SFN,NL,OF,12,8,211,13,1,0,0,,,,,
perezma02,2015,1,TEX,AL,P,14,14,236,5,6,1,1,,,,,
perezol01,2015,1,ARI,NL,P,48,0,87,2,5,0,1,,,,,
perezol01,2015,2,HOU,AL,P,22,0,36,1,1,0,0,,,,,
perezro02,2015,1,CLE,AL,C,69,61,1615,568,42,4,2,4,,25,18,
perezsa02,2015,1,KCA,AL,1B,1,0,9,2,0,0,1,,,,,
perezsa02,2015,1,KCA,AL,C,139,137,3577,974,90,4,10,4,,66,29,
perezwi01,2015,1,ATL,NL,P,23,20,350,7,15,0,2,,,,,
perkigl01,2015,1,MIN,AL,P,60,0,171,2,7,0,0,,,,,
pestavi01,2015,1,LAA,AL,P,19,0,35,0,0,1,0,,,,,
peterja01,2015,1,ATL,NL,2B,144,137,3654,287,395,9,109,,,,,
petersh01,2015,1,MIL,NL,1B,2,1,45,16,1,1,1,,,,,
petersh01,2015,1,MIL,NL,OF,52,43,1178,94,4,3,1,,,,,
petitgr01,2015,1,NYA,AL,2B,13,11,279,24,27,1,10,,,,,
petitgr01,2015,1,NYA,AL,3B,3,2,54,1,4,1,0,,,,,
petityu01,2015,1,SFN,NL,P,42,1,228,5,9,0,0,,,,,
petrija01,2015,1,CHA,AL,P,62,0,156,1,6,0,1,,,,,
phamth01,2015,1,SLN,NL,OF,44,35,985,63,2,0,1,,,,,
phegljo01,2015,1,OAK,AL,C,68,62,1623,454,53,2,3,5,,28,18,
phelpda01,2015,1,MIA,NL,P,23,19,336,4,19,1,2,,,,,
phillbr01,2015,1,CIN,NL,2B,141,141,3684,261,394,6,79,,,,,
phillbr01,2015,1,CIN,NL,SS,1,0,3,0,0,0,0,,,,,
pierzaj01,2015,1,ATL,NL,C,107,104,2729,729,44,2,7,5,,67,21,
pillake01,2015,1,TOR,AL,OF,158,155,4146,440,10,2,1,,,,,
pimenst01,2015,1,TEX,AL,P,8,0,34,0,3,0,0,,,,,
pindebr01,2015,1,NYA,AL,P,25,0,83,2,3,0,1,,,,,
pinedmi01,2015,1,NYA,AL,P,27,27,482,9,19,2,0,,,,,
pinoyo01,2015,1,KCA,AL,P,7,1,58,0,1,2,0,,,,,
pireljo01,2015,1,NYA,AL,2B,27,19,470,36,44,4,12,,,,,
pireljo01,2015,1,NYA,AL,OF,3,2,54,2,1,0,0,,,,,
piscost01,2015,1,SLN,NL,1B,11,9,171,62,1,0,6,,,,,
piscost01,2015,1,SLN,NL,OF,61,52,1442,73,1,2,1,,,,,
plaweke01,2015,1,NYN,NL,C,70,66,1808,558,36,1,1,2,,32,11,
plouftr01,2015,1,MIN,AL,1B,17,13,354,122,11,1,7,,,,,
