,yearID_x,teamID_x,lgID_x,playerID,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
316,2002,SLN,NL,edmonji01,7333333,2001,1,SLN,NL,150,500,95,152,38,1,30,110,5,5,93,136,12,4,1,10,8
95,2002,CIN,NL,encarju01,1550000,2001,1,DET,AL,120,417,52,101,19,7,12,52,9,5,25,93,1,6,5,4,9
2,2002,ANA,AL,erstada01,6250000,2001,1,ANA,AL,157,631,89,163,35,1,9,63,24,10,62,113,7,10,1,7,8
336,2002,TEX,AL,evereca01,8666666,2001,1,BOS,AL,102,409,61,105,24,4,14,58,9,2,27,104,3,13,0,0,3
3,2002,ANA,AL,fabrejo01,500000,2001,1,ANA,AL,53,148,9,33,4,2,2,16,0,0,3,15,0,0,4,2,5
160,2002,KCA,AL,febleca01,775000,2001,1,KCA,AL,79,292,45,69,9,2,8,25,5,2,22,58,0,1,1,1,7
306,2002,SFN,NL,felizpe01,222000,2001,1,SFN,NL,94,220,23,50,9,1,7,22,2,1,10,50,2,2,3,3,5
127,2002,DET,AL,fickro01,1150000,2001,1,DET,AL,124,401,62,109,21,2,19,61,0,3,39,62,3,4,0,4,10
18,2002,ARI,NL,finlest01,5375000,2001,1,ARI,NL,140,495,66,136,27,4,14,73,11,7,47,67,9,1,2,3,8
327,2002,TBA,AL,flahejo01,3250000,2001,1,TBA,AL,78,248,20,59,17,1,4,29,1,0,10,33,1,1,5,1,9
350,2002,TOR,AL,fletcda01,3825000,2001,1,TOR,AL,134,416,36,94,20,0,11,56,0,1,24,43,4,6,1,6,18
138,2002,FLO,NL,floydcl01,6500000,2001,1,FLO,NL,149,555,123,176,44,4,31,103,18,3,59,101,19,10,0,5,9
44,2002,BAL,AL,fordybr01,2500000,2001,1,BAL,AL,95,292,30,61,18,0,5,19,1,2,21,56,1,3,3,1,7
110,2002,CLE,AL,frymatr01,5825000,2001,1,CLE,AL,98,334,34,88,15,0,3,38,1,2,30,63,1,3,0,3,8
4,2002,ANA,AL,fullmbr01,4000000,2001,1,TOR,AL,146,522,71,143,31,2,18,83,5,2,38,88,8,6,0,7,13
29,2002,ATL,NL,furcara01,405000,2001,1,ATL,NL,79,324,39,89,19,0,4,30,22,6,24,56,1,1,4,6,5
215,2002,MON,NL,galaran01,500000,2001,1,TEX,AL,72,243,33,57,16,0,10,34,1,0,18,68,1,9,0,1,9
280,2002,SDN,NL,gantro01,500000,2001,1,COL,NL,59,171,31,44,8,2,8,22,3,1,24,56,2,0,2,2,0
225,2002,NYA,AL,giambja01,10428571,2001,1,OAK,AL,154,520,109,178,47,2,38,120,2,0,129,83,24,13,0,9,17
249,2002,OAK,AL,giambje01,1065000,2001,1,OAK,AL,124,371,64,105,26,0,12,57,0,1,63,83,1,4,3,2,13
45,2002,BAL,AL,gibboja01,232500,2001,1,BAL,AL,73,225,27,53,10,0,15,36,0,1,17,39,0,4,0,0,7
5,2002,ANA,AL,gilbe01,400000,2001,1,ANA,AL,104,260,33,77,15,4,8,39,3,4,14,57,0,0,2,2,6
268,2002,PIT,NL,gilesbr02,8063003,2001,1,PIT,NL,160,576,116,178,37,7,37,95,13,6,90,67,14,4,0,4,10
