,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
389,2001,HOU,NL,lugoju01,SS,245000,2000,1,HOU,NL,116,420,78,119,22,5,10,40,22,9,37,93,0,4,3,1,9
301,2001,COL,NL,perezne01,SS,3550000,2000,1,COL,NL,162,651,92,187,39,11,10,71,3,6,30,63,6,0,7,11,9
724,2001,SEA,AL,bellda01,SS,2200000,2000,1,SEA,AL,133,454,57,112,24,2,11,47,2,3,42,66,0,6,6,4,11
515,2001,MON,NL,blumge01,SS,260000,2000,1,MON,NL,124,343,40,97,20,2,11,45,1,4,26,60,2,3,3,4,4
205,2001,CHN,NL,gutieri01,SS,3400000,2000,1,CHN,NL,125,449,73,124,19,2,11,56,8,2,66,58,0,7,16,4,10
468,2001,MIL,NL,hernajo01,SS,3333333,2000,1,MIL,NL,124,446,51,109,22,1,11,59,3,7,41,125,3,6,0,3,12
233,2001,CIN,NL,larkiba01,SS,9000000,2000,1,CIN,NL,102,396,71,124,26,5,11,41,14,6,48,31,0,1,2,0,10
223,2001,CIN,NL,booneaa01,SS,400000,2000,1,CIN,NL,84,291,44,83,18,0,12,43,6,1,24,52,1,10,2,4,5
757,2001,SFN,NL,dunstsh01,SS,1000000,2000,1,SLN,NL,98,216,28,54,11,2,12,43,3,1,6,47,0,3,4,2,11
517,2001,MON,NL,cabreor01,SS,340000,2000,1,MON,NL,125,422,47,100,25,1,13,55,4,4,25,28,3,1,3,3,12
677,2001,PIT,NL,mearepa01,SS,3790000,2000,1,PIT,NL,132,462,55,111,22,2,13,47,1,0,36,91,6,8,5,3,13
171,2001,CHA,AL,claytro01,SS,4500000,2000,1,TEX,AL,148,513,70,124,21,5,14,54,11,7,42,92,1,3,12,3,21
883,2001,TOR,AL,gonzaal01,SS,4250000,2000,1,TOR,AL,141,527,68,133,31,2,15,69,4,4,43,113,0,4,16,1,14
549,2001,NYA,AL,jeterde01,SS,12600000,2000,1,NYA,AL,148,593,119,201,31,4,15,73,22,4,68,99,4,12,3,3,14
99,2001,BAL,AL,bordimi01,SS,4500000,2000,1,BAL,AL,100,391,70,116,22,1,16,59,6,5,34,71,0,1,2,5,12
801,2001,SLN,NL,renteed01,SS,4500000,2000,1,SLN,NL,150,562,94,156,32,1,16,76,21,13,63,77,3,1,8,9,19
751,2001,SFN,NL,aurilri01,SS,3250000,2000,1,SFN,NL,141,509,67,138,24,2,20,79,1,2,54,90,2,0,4,4,15
430,2001,LAN,NL,beltrad01,SS,1250000,2000,1,LAN,NL,138,510,71,148,30,2,20,85,12,5,56,80,2,2,3,4,13
145,2001,BOS,AL,garcino01,SS,7250000,2000,1,BOS,AL,140,529,104,197,51,3,21,96,5,2,61,50,20,2,0,7,8
190,2001,CHA,AL,valenjo03,SS,5166667,2000,1,CHA,AL,144,568,107,155,37,6,25,92,19,2,59,106,1,4,13,4,11
604,2001,OAK,AL,chaveer01,SS,625000,2000,1,OAK,AL,153,501,89,139,23,4,26,86,2,2,62,94,8,1,0,5,9
629,2001,OAK,AL,tejadmi01,SS,2025000,2000,1,OAK,AL,160,607,105,167,32,1,30,115,6,0,66,102,6,4,2,2,15
74,2001,ATL,NL,jonesch06,SS,10333333,2000,1,ATL,NL,156,579,118,180,38,1,36,111,14,7,95,64,10,2,0,10,14
863,2001,TEX,AL,rodrial01,SS,22000000,2000,1,SEA,AL,148,554,134,175,34,2,41,132,15,4,100,121,5,7,0,11,10
6,2001,ANA,AL,glaustr01,SS,1250000,2000,1,ANA,AL,159,563,120,160,37,1,47,102,14,11,112,163,6,2,0,1,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
